model_A,model_B,mean_sMAPE_%_A,mean_sMAPE_%_B,mean_diff_A_minus_B,t_stat,p_value,significant_5%
ARIMA,STL-LSTM,33.61860488416878,23.70535624067365,9.913248643495132,9.39143462178742,1.360996878571558e-20,True
ARIMA,MTL-LSTM,33.61860488416878,23.70501001147967,9.913594872689117,9.390668923300067,1.3705645130504695e-20,True
STL-LSTM,MTL-LSTM,23.70535624067365,23.70501001147967,0.00034622919398617617,0.04963718184092038,0.9604157707465407,False
