,n_cities,ARIMA,STL-LSTM (internal),STL-LSTM (full),MTL-LSTM (internal),MTL-LSTM (full)
fog_MC,189,12.268433692613803,9.590865872166292,9.59985784023624,9.618128043448976,9.618133480344037
fog_CM_CMS,67,9.993245216835367,6.554855295038298,6.5726429677390605,6.594891281334683,6.594916639815179
homerule_Y,76,9.605980871864968,6.650737335330943,6.651585375637005,6.651591592487804,6.651590872145936
homerule_N,183,12.837427081438205,9.577576725223114,9.546410630810628,9.710087708086117,9.71266371936216
