model,group_A,group_B,n_A,n_B,mean_A,mean_B,mean_diff_A_minus_B,t_stat,p_value,significant_5%
ARIMA,Home-rule (Y),Non-home-rule (N),684,1647,102087147.94806693,3715998.9475961383,98371149.0004708,2.108380383475088,0.03536148784896218,True
STL-LSTM (full),Home-rule (Y),Non-home-rule (N),684,1647,16905393.492807478,1127476.4692086203,15777917.023598857,3.5739427647762136,0.00037636292298401743,True
MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),684,1647,16905393.49888991,1127445.486734924,15777948.012154985,3.573949851411587,0.00037635292158916516,True
