model,group_A,group_B,n_A,n_B,mean_A,mean_B,mean_diff_A_minus_B,t_stat,p_value,significant_5%
ARIMA,Mayor-council (MC),Council-manager (CM/CMS),1701,603,25982039.999677736,52247014.989649735,-26264974.989972,-0.8170415392270358,0.4140946004764625,False
STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),1701,603,6006062.827542721,5163777.525456819,842285.3020859025,0.45066039699662974,0.6522828176540426,False
MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),1701,603,6006131.161970451,5163835.154772015,842296.0071984353,0.4506660727005337,0.6522787270530924,False
